Ch;Pos (m);T (ms);;;;;;;;;;;Ch;Pos (m);T (ms);;;;;
1;0;5;;;;;;;;;;;1;0;83;;;;;
2;3;5;;V1;V2;ti;h;;;;;;2;3;81;;V1;V2;ti;h
3;6;14;;0,348837209;1,857142857;44,07692308;7,827154731;;;;;;3;6;80;;0,333333333;1,813953488;42,15384615;7,147353215
4;9;22;;;;;;;;;;;4;9;79;;;;;
5;12;30;;;;;;;;;;;5;12;77;;;;;
6;15;39;;;;;;;;;;;6;15;74;;;;;
7;18;48;;;;;;;;;;;7;18;72;;;;;
8;21;56;;;;;;;;;;;8;21;70;;;;;
9;24;58;;;;;;;;;;;9;24;68;;;;;
10;27;60;;;;;;;;;;;10;27;65;;;;;
11;30;61;;;;;;;;;;;11;30;64;;;;;
12;33;60;;;;;;;;;;;12;33;63;;;;;
13;36;63;;;;;;;;;;;13;36;62;;;;;
14;39;63,5;;;;;;;;;;;14;39;60,5;;;;;
15;42;64;;;;;;;;;;;15;42;59,5;;;;;
16;45;65;;;;;;;;;;;16;45;55;;;;;
17;48;68;;;;;;;;;;;17;48;55;;;;;
18;51;69;;;;;;;;;;;18;51;53;;;;;
19;54;71;;;;;;;;;;;19;54;49;;;;;
20;57;73;;;;;;;;;;;20;57;40;;;;;
21;60;77;;;;;;;;;;;21;60;31;;;;;
22;63;78;;;;;;;;;;;22;63;22;;;;;
23;66;80;;;;;;;;;;;23;66;14;;;;;
24;69;82;;;;;;;;;;;24;69;4;;;;;
